TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-141618,DT037267,Citizen Context Viewer text is not translated into French,CEF,,,,"*Issue Description:*
Citizen Context Viewer (CCV) text is not translated into French. 

*User Interface Impact:* No 

*Prerequisites:*

# Change the user locale to French.

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Register a person, for example, John Jones.
# On the person home page, click the arrow icon. The screen reader announces  ?Citizen Context Viewer - John Jones, 43 ans (S'ouvre dans une nouvelle fenêtre) link visited?. 
# Issue: The Citizen Context Viewer text is not translated into French.

*Resolution:*
This issue is now resolved, and the Citizen Context Viewer text is now translated correctly. 

"
SPM-141590,,Update the commons-httpclient JAR file,Third Party Updates,,,,"The commons-httpclient library provides a framework by which new request types (methods) or HTTP extensions can be created easily. The library is delivered in Cúram as part of the Axis 2 Web Services functionality.

The version of the commons-httpclient JAR has now been updated from 3.1 to 3.1-1. The new version of the JAR contains a defect fix. As a result of this upgrade, the following changes have been made in the JDE deliverable.

* CuramSDEJlibaxis2commons-httpclient-3.1-1.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.

"
SPM-141446,,Allocating a payment received to a liability with multiple components causes it to appear twice for that liability,CEF,Financial Management,Financials,,"*Issue Description:*
A duplicate allocation line item appears for every allocated payment received against a liability line item.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Create an integrated case.
# Add evidence that makes the client eligible for two components.
# Activate the evidence.
# Add a product delivery where ?Use Rolled Up Reassessments? is configured to false on the underlying product.
# Add the necessary certification.
# Submit, approve and activate the product delivery.
# Generate payment.
# Move the certification from date forward to generate a payment correction case.
## This should have two liability line items, one for the overpayment of each component paid to the client.
# Log in as a financial user.
# Capture a payment received for $5 for the client above.
# Allocate this against one of the outstanding liability line items.
# Search for and open the payment correction case.
# Click the Financials tab.
# The Liability page should display the two benefit overpayment line items.
# Click the inline Allocations tab.
# Issue: The Allocations in-line tab displays two identical entries for the $5 allocation, these are the same underlying record.

*Resolution:*
This issue is now resolved. The Allocations in-line tab now displays the allocated amount for a payment received.

"
SPM-141427,,Update the opensaml JAR file to a later version,Third Party Updates,,,,"The OpenSAML-J library provides tools to support developers working with the Security Assertion Markup Language (SAML). The library is used in Cúram as part of the Rampart functionality which provides the ability to develop secure Axis 2 Web Services.

The version of the opensaml JAR has now been updated from 2.6.1-2 to 2.6.6. The new version of the JAR contains a number of defect fixes. As a result of this upgrade, the following changes have been made in the JDE deliverable.

* CuramSDEJlibthird&#95;party&#95;version.properties - the version of the JAR file has been updated.
* CuramSDEJlibaxis2opensaml-2.6.6.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.

"
SPM-141277,,Remove the logic associated with the Word Integration Applet feature from the Cúram deliverable,Code Removal,,,,"The Java applet implementation of the FILE_EDIT widget for the Microsoft? Word Integration feature was deprecated in Cúram 7.0.2. Customers should use the native messaging implementation of this feature, which is available for the Google Chrome and Microsoft Edge browsers.

The deprecated logic associated with the applet implementation is now being removed. This code removal exercise has resulted in the following changes in the Cúram Java Development Environment (JDE) deliverable.

Files Removed:

* CuramCDEJlibcuramjarsignedsha-2WordIntegrationApplet.jar
* CuramCDEJlibextjarsignedsha-2commons-codec-1.16.0.jar
* CuramCDEJlibextjarsignedsha-2commons-io-2.13.0.jar
* CuramCDEJlibcuramwebjspfile-edit-ie.jsp
* CuramCDEJlibcuramwebjspfile-edit-chrome-applet.jsp
* CuramCDEJlibextjsCFInstall.js
* CuramCDEJlibextjsdeployJava.js

Files Modified to remove references to applet-related logic:

* CuramCDEJbinbuild.xml
* CuramCDEJbinbuild-properties.xml
* CuramCDEJlibcuramwebjscriptcuramutilWordFileEdit.js
* CuramCDEJdocdefaultpropertiescuramomega3i18nFileEdit.properties
* CuramCDEJdocdefaultpropertiescuramomega3i18nDebug.js.properties
* CuramCDEJlibcuramwebjspfile-edit-dialog.jsp
* CuramCDEJlibcuramwebthemesv6csshelp-style.css

The following two properties, which are now defunct, have been removed from the ?CuramCDEJdocdefaultpropertiescuramomega3ApplicationConfiguration.properties' file:

* fileEditUseActiveXForMSIE
* fileedit.chrome.messaging.enabled

A new version of the Word Integration Bridge Installer ('CuramCDEJlibcuraminstallersWordIntegrationAssistant.msi') has also been released as part of this change. The previous version was 3.0.2, and the new version is 4.0.0.

We recommend that you remove any references to the items listed above from custom scripts and other artifacts.

"
SPM-141276,,CKEditor - Upgrade the CKeditor to 4.25.1-lts,CEF,,,,"The CKEditor component (_located at webclientcomponentsCEFWidgetsWebContentcefwidgetsckeditor_), which underpins the Rich Text Editor in Cúram, has been upgraded from version 4.5.10 to 4.25.1-lts and fully integrated into the application. 

CKEditor v4.25.1-lts includes multiple defect fixes, minor enhancements and latest security patches.

Pasting from Word documents keeps the formatting in most cases, as long as the format type is supported within the Rich Text editor.

*Note:*

The following Rich Text Editor usability changes are present after this upgrade

* The paste button is now disabled; selecting it will display an informational dialog indicating to the user how to paste content into the rich text editor.
* Users must use keyboard shortcuts (e.g., Ctrl&#43;V or Cmd&#43;V) to paste content into the rich text editor.

"
SPM-141188,DT037252,Disabled inline action menu configuration can cause NullPointerException errors to be sent to server logs,CEF,,,,"*Issue Description:*
When the system administration configuration properties for inline action menus are disabled, for example, when the properties are removed from the Cúram applications? Application.prx or Environment.xml file, a NullPointerException may occur, potentially leading to degraded application performance over time.

*User Interface Impact:* No

*Prerequisites:*
Customize the Environment.xml file to remove th_e ?_curam.actionmenus.display-inline.enabled.tab? and 'curam.actionmenus.max-inline-items.tab' properties. Then build the database again.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Keep using the application until you get an error, either an ?Application Error? or a ?Sorry, an error has occurred? error when opening a browser tab.
# Inspect the server logs.
# Issue: A NullPointerException is thrown when the configuration properties for inline action menus are disabled, resulting in the exception stack trace being written to the logs.

*Resolution:*
The Cúram application has been updated so that when the system administration configuration properties for inline action menus are disabled, a NullPointerException will not be thrown.

"
SPM-141185,DT037253," Cases assigned a higher sensitivity level can be viewed by an audit coordinator with a lower sensitivity level",CEF,Application Development Environment,Security Management,,"*Issue Description:*
An audit coordinator can view and select cases for auditing linked to a person with a higher sensitivity level. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# In the shortcuts panel, navigate to Case Audit Configurations under the Case Audits section and select New Case Audit Configuration.
# Configure an audit with the following values:
## Case Audit type: Select Product Delivery in the drop-down, search and select any product, and click Next.
## Algorithm: Systematic Sampling
## Allow Audit Coordinator to Specify Cases for Audit: Yes
## Dynamic Query: Benefit Product Delivery Case Query
## Focus Area: Select All
## Select Save
# Navigate to Users and select User Search.
# Search for the administrator user. Update the administrator?s sensitivity level to 5. 
# Search for the caseworker user. Update their sensitivity level to 5. 
# Log in as this updated caseworker.
# Register a person.
# Set the person?s sensitivity level to 5.
# Create an integrated case for the person.
# Create an associated product delivery. Note down the Case Reference Number. 
# Add the necessary evidence to make the person eligible.
# Apply the evidence changes.
# Submit the product delivery for approval.
# Activate the product delivery.
# Log in as an audit coordinator.
# Select New Audit Plan under the Audits section in the shortcuts panel. 
# Configure an Audit Plan with the following values:
## Purpose: Compliance Review
## Audit Item: Product selected at Step 3 above.
## User Involvement: Provide Feedback
# From the Audit Plan home page, open the page actions overflow menu and click the Select Specific Cases to Audit action.
# Search for the product delivery case created above (Step 11).
# Issue: The audit coordinator can view and select to audit the product delivery case linked to a person with a higher sensitivity level.

*Resolution:*
When an audit coordinator with a lower sensitivity level searches for a case linked to a client with a higher sensitivity level, the details are masked. Additionally, if an audit coordinator tries to add a restricted case, the following validation message displays: ?You do not have access to this client?s details.?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
SPM-141158,DT037250,Dependency Manager reassesses cases immediately after activation,CEF,Integrated Case Management,Eligibility & Entitlement,Cúram Express Rules,"*Issue Description:*
When a case is activated either online or by the DetermineProductDeliveryEligibility batch job the next execution of the dependency manager causes the case to be reassessed.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Add an integrated case for the person.
# Add the necessary evidence to make the person eligible.
# Activate the evidence.
# Create a product delivery for a person.
# Submit it for approval.
# Activate the case by either
#* Queue and run the DetermineProductDeliveryEligibility batch program or
#* Use the Activate Online menu.
# Check the case in the browser; its status will be Active, it will have a current determination, and the determination history will show one reassessment.
# If the case was activated by the DetermineProductDeliveryEligibility, now run the dependency manager batch suite.
# Check the case in the browser.
# Issue: The current determination for the case will show a more recent timestamp. Also, the DependencyTrace table will show 2 REASSESS records for the case. This is because activating the case changes its status to 'Active', which creates a PrecedentChangeItem (PCI) for the case header. This PCI causes the Dependency Manager to reassess the case unnecessarily.

*Resolution:*
Activating a case no longer creates a PCI for the PDCS case header while assessing the case for the first time during activation. Hence, the Dependency Manager no longer reassesses the case. This applies to cases which are activated online or by the DetermineProductDeliveryEligibility batch program.

If required, this behaviour can be suppressed by setting the application property ?curam.ruleobjectpropagation.disable.casestatus.filter? to ?True?, in which case the above PCI will be created during case activation. "
SPM-141118,,Ensure the behaviour of IBAN bank accounts is equivalent to standard bank accounts,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
When IBAN bank account functionality is enabled via the ?curam.participant.enableibanfunctionality? system property, the IBAN and BIC fields should be handled in the same way as the account number and sort code fields are when the functionality is disabled. Also, error messages referencing the terms ?account number? and ?sort code? should be tailored to mention IBAN and BIC. 

*User Interface Impact:* No

*Steps to Reproduce:*

N/A

*Resolution:*
All critical paths for creating, modifying and deleting bank accounts have been examined and the necessary updates made to ensure they work in the same manner when IBAN is turned on via the system property ?curam.participant.enableibanfunctionality?. All error messages have been tailored to reference the terms IBAN/BIC, making them clearer and more understandable for caseworkers.

*Technical:*
The following rulesets and associated properties have been updated: 

* PDCBankAccountValidationRuleSet.xml
* PDCBankAccountValidationRuleSet.properties
* PDCBankAccountIBANValidationRuleSet.xml
* PDCBankAccountIBANValidationRuleSet.properties

The full list of rule attributes that were updated/added are:

# PDCBankAccountIBANValidationRuleSet.xml
## doesIBANAndBICOrSortCodeAndAccNumEntered renamed to doesIBANAndBICEntered
## ibanAndBICOrSortCodeAndAccNumEnteredValidation renamed to ibanAndBICEnteredValidation
# PDCBankAccountIBANValidationRuleSet.xml
## Zero length check on accountNumber and sortCode removed from doesIBANAndBICEntered attribute
# PDCBankAccountIBANValidationRuleSet.properties
## ERR&#95;BANKACCOUNT&#95;FV&#95;IBAN&#95;NUM&#95;EMPTY message updated to read, ?An IBAN and BIC must be entered?.
# PDCBankAccountValidationRuleSet.properties
## ERR&#95;BANKACCOUNT&#95;ACCOUNTEXISTS&#95;DUPLICATE message updated to read, ?A bank account already exists for this client with this account number at the selected bank.?
# PDCBankAccountValidationRuleSet.preCreateValidations (bankAccountAlreadyExistsValidation added)
# PDCBankAccountValidationRuleSet.preModifyValidations (bankAccountAlreadyExistsValidation added)

"
SPM-141115,,Closing a joint bank account from the non-PDC side unexpectedly sets the preferred indicator on bank account evidence,CEF,Business Services,Participant Management,,"*Issue Description:*
A joint bank account may be shared between a PDC (or Person Evidence Management (PEM)) person and a service supplier. When the bank account is closed on the service supplier side, the person's bank account is also closed. However, an unintended side effect occurs, the preferred indicator is set where it was previously unset.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker, register a person, and add a bank account with details:
## Account Name: BankAccount
## Account Type: Personal Current
## Account Number: 12341111
## Sort Code: 90-14-87
## Joint Account indicator: true
## Preferred indicator: Not Selected
# Register a service supplier and add a bank account with details:
## Account Name: BankAccount
## Account Type: Personal Current
## Account Number: 12341111
## Sort Code: 90-14-87
## Joint Account indicator: true
# From the service supplier, select the bank account and update its status to ?Closed?.
# Navigate to the person and review the PDC bank account details.
# Issue: The person?s bank account details show that the account status has been set to ?Closed?. However, it has incorrectly marked the account as preferred.

*Resolution:*
The preferred indicator is no longer set to ?true? when the bank account is closed. In addition, if the preferred indicator is already set to ?true?, it will be automatically unset when a bank account is closed allowing another bank account to be marked as preferred.

"
SPM-141069,DT037246,UHSE thrown when capturing and allocating a payment received when a charge adjustment exists,CEF,Financial Management,Financials,,"*Issue Description:*
An unhandled server exception is thrown when a caseworker captures a payment received and allocates it against an existing liability. The API for retrieving the list of outstanding debts throws an exception if the client has a charge adjustment. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Log in as a financial user.
# Search for the registered person.
# Navigate to the Financial tab for the person.
# Use the New Account Adjustment page-level action to create a charge adjustment for $50.
# Click the ?Receive Payment for a Person? shortcut link.
# Search for the person on the first page of the wizard.
# Select the person.
# On the next page, specify an amount and provide a ledger number for the cash payment.
# Click Save & Allocate.
# Issue: An unhandled server exception is thrown when retrieving the list of debts to present to the caseworker.

*Resolution:*
This issue has been addressed, and the list of ?Liabilities to Allocate? is now presented to the caseworker. A new system property has also been added to filter Charge Adjustments from the outstanding liabilities page of the ?Receive Payment for a Person' wizard. This property is 'curam.filter.chargeadjustments? and is off by default. Turning this on will result in Charge Adjustments not being displayed in the outstanding liabilities list.

"
SPM-141019,,End date not being set when a bank account's status is updated to 'Closed',ENT,Dynamic Evidence,Evidence Management,,"*Issue Description:*
When a Bank Account?s status is updated to ?Closed?, its end date is not being set.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Use the New Evidence page action to add Bank Account evidence.
# From the Evidence list page, click the Edit row-level action.
# Set the Account Status to ?Closed' and click Save, without specifying a To date.
# Issue: The To date is not set. The To date should be set when the account status is set to ?Closed'.

*Resolution:*
The To date is now automatically set to the current date when a bank account's status is changed to ?Closed?.

"
SPM-140845,,Validation message 'Bank account type of the shared account does not match the bank account type entered' is not being consistently applied across all participants linked to a joint bank account,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
If a joint bank account which has been added to a person is being added to another person, a validation should be thrown if the bank account type specified for the second person is different to that specified for the first person. The validation should read, ?Bank account type of the shared account does not match the bank account type entered.?

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person (Person 1).
# Register a second Person (Person 2).
# Add a bank account to Person 1 with details:
## Account Name: Test Account
## Account Type: Personal Current
## Account Number: 11112222
## Sort Code: 90-14-87
## From: 1/1/2025
## Joint = true
# Add a bank account to Person 2 with details:
## Account Name: Test Account
## Account Type: Personal Deposit
## Account Number: 11112222
## Sort Code: 90-14-87
## From: 1/1/2025
## Joint = true
# Issue: No validation is thrown to inform the caseworker that the bank account type specified for Person 2 differs from that of Person 1. Since both individuals are sharing the same joint bank account, the account type must be the same.

*Resolution:*
An existing validation has been included to ensure consistency in account types when adding a joint bank account for multiple participants. If a joint account already associated with one person is added to another person using a different account type, the following message is displayed to the caseworker 'Bank account type of the shared account does not match the bank account type entered.?

"
SPM-140757,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.

Caseworker Application Browser Support

* Google Chrome is updated to 137
* Microsoft Edge is updated to 137

Universal Access Application Browser Support

* Google Chrome is updated to 137
* Microsoft Edge is updated to 137
* Mozilla Firefox is updated to 138

"
SPM-140752,,Cúram Citizen Engagement - The program list in the Benefit acknowledgement message is not localisable and not accessible,CEF,Universal Access,,,"*Issue Description:*
In Cúram Citizen Engagement, when the selected language is switched from English, the program list used in the benefit application acknowledgement notification on the user?s dashboard is not accessible and the 'and ' conjunction displayed when there are multiple programs, is not displayed in the selected language.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in to the Cúram citizen engagement portal.
# Submit a benefit application for multiple programs.
# Navigate to the user?s ?Your Account? page.
# Within the Notifications card, observe the benefit application acknowledgement notification. The programs are separated by commas and the `and` conjunction.
# Issue 1: Program list in the acknowledgement notification is not accessible.
# Switch language to something other than English (for example French).
# Issue 2: The ?and? conjunction used as the program list separator is not translated.

*Resolution:*
The program list used in the benefit application acknowledgement notification is now accessible and when the language is switched from English, it is displayed in the selected language.

"
SPM-140746,,Update the certified version of Apple VoiceOver and Chrome for tablet accessibility,Third Party Updates,,,,"The certified version of Apple VoiceOver is now updated to iOS 18.5 This is certified against Chrome 137. 
"
SPM-140737,,"Drop support for Windows 10 as a development platform for Cúram ",Third Party Updates,,,,"Support for the Microsoft® Windows® 10 platform for the designing, developing, testing, and building of the Cúram application has been dropped.

"
SPM-140687,,The <prefer-web-inf-classes> element has been added into the WebLogic deployment descriptor file,CEF,Technical Services,Server Development Environment,Infrastructure,"*Description:* 
The Oracle WebLogic application server sporadically uses system or application classes over classes provided by Cúram applications such as the Cúram, CitizenPortal and REST applications.

*User Interface Impact:* No

*Steps to Reproduce:* N/A

*Resolution:* 
A change has been made to the Oracle WebLogic deployment descriptors in the Cúram applications to ensure the classes located in the WEB-INF directory of the Web applications are loaded in preference to classes loaded in the application or system classloader. 

*Technical:* 
The following files have been updated:

* ../CuramCDEJ/ear/WLS/war/WEB-INF/weblogic.xml: The prefer-web-inf-classes element has been introduced and set to true.
* ../EJBServer/components/Rest/resources/ear/wls/META-INF/weblogic-application.xml: The prefer-application-packages element has been removed to resolve any conflicts with the prefer-web-inf-classes element introduced to the weblogic.xml.

"
SPM-140419,DT037241,Dynamic evidence 'From' and 'To' dates on a joint bank account do not sync with the 'From' and 'To' dates on the same joint bank account shared with other participants,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
Dynamic evidence 'From' and 'To' dates on a joint bank account do not sync with the 'From' and 'To' dates on the same joint bank account shared with other participants.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Click Properties under Application Data in the shortcuts panel.
# Search for the property ?curam.pec.enabled?.
# Use the row-level action to update the property?s value to ?YES?.
# Use the page-level action to publish the change.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person (Person 1).
# Add Bank Account evidence with details:
## Account Name: Bank1
## Account Type: Corporate Current
## Account Number: 12345678
## Sort Code: 90-14-87
## From: 12/01/2024
## Joint Account = true
# Click Save.
# Apply changes.
# Register a second person (Person 2).
# Add Bank Account evidence with details:
## Account Name: Bank1
## Account Type: Corporate Current
## Account Number: 12345678
## Sort Code: 90-14-87
## From: 12/01/2024
## Joint Account = true
# Click Save.
# Apply changes.
# On Person 2, update the joint bank account details as follows:
## From: 11/01/2024
## To: 12/27/2024
# Click Save.
# Apply changes.
# Navigate to Person 1 and view the bank account evidence.
# Issue: The From and To Dates are not updated on Person 1?s bank account.

*Resolution:*
This issue is now resolved. The ?From? and ?To? dates are kept in sync across a joint bank account shared by multiple participants.

"
