TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-136844,,Update browser plug-in Java? Runtime Environment (JRE) level used in Microsoft Word Integration,Third Party Updates,,,,"The Oracle JRE level for Microsoft Word Integration supported for this release is:

* JRE 1.8 u421

"
SPM-136835,,Update the certified version of Apple VoiceOver and Chrome for tablet accessibility,Third Party Updates,,,,"The certified version of Apple VoiceOver is now updated to iOS 18.1. This is certified against Chrome 130. 

"
SPM-136566,DT037082,Expensive query across Dependency and PrecedentChangeItem tables for each reassessment,CEF,Integrated Case Management,Eligibility & Entitlement,Data Access Layer,"*Issue Description:*
When a case is reassessed by the Dependency Manager, a database query is executed to identify which precedents caused the reassessment. This is done to derive the probable reason for the reassessment, which is then displayed in the ?Reason? column of the Determination History for the case. The possible values displayed in this column are: 'Rules Change', 'System Configuration Change', and 'Case Reassessment'. In systems with large numbers of cases and a high volume of records in the Dependency table, this query can consume significant database time and resources. In the out-of-the-box application, this query is used solely to populate the display field and is not essential for any other processing.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Enable JMX report generation for batch programs by setting the property 'Write a JMX report to disk at the end of each batch program.' to True.
# Run the Dependency Manager batch suite, ensuring that some cases are awaiting processing by the batch.
# Check attribute 'SQLStats' of the resulting JMX report for the presence of operation Dependency.searchDistinctPrecedentsByDependentAndPrecedentChangeSetWithHash .
# Issue: The JMX report will indicate that the method was called once per case reassessment and may contribute significantly to overall SQL execution times.

*Resolution:*
The query can be suppressed by setting the application property 'curam.reassess.contributing.precedents.search.disabled' to True. Reassessments triggered by the dependency manager will no longer execute the expensive query.

"
SPM-136556,," Removal of the Flash Editor files from the Cúram deliverable",Code Removal,,,,"With the release of Cúram 8.1.3.0, a new version of the Editor applications (version 2.0) has been introduced. In this version, the server-side code of the editor applications asset has been integrated into the Cúram codebase. For more details, please refer to ?_Post-Installation steps - Flex Editor Server Code Integration_? section in the 8.1.3.0 release notes. 

The following files were found to be obsolete and no longer used by the Cúram application. They have been removed as a result.

* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/de&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/en&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/es&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/fr&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/it&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/ja&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/ko&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/pt&#95;BR&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/zh&#95;CN&#95;font.swf
* webclient/components/Editors/WebContent/CDEJ/flex/fonts/3.2/zh&#95;TW&#95;font.swf
* webclient/components/Editors/WebContent/CER/AC&#95;OETags.js
* webclient/components/Editors/WebContent/CER/CERTEditor.swf
* webclient/components/Editors/WebContent/DecisionMatrix/AC&#95;OETags.js
* webclient/components/Editors/WebContent/DecisionMatrix/DecisionMatrixEditor.swf
* webclient/components/IntelligentEvidenceGathering/WebContent/ieg/flex/DatastoreEditor.swf
* webclient/components/IntelligentEvidenceGathering/WebContent/ieg/flex/IEG2Editor.swf
* webclient/components/IntelligentEvidenceGathering/WebContent/ieg/flex/AC&#95;OETags.js
* webclient/components/CitizenWorkspaceAdmin/WebContent/CDME/CDMEEditor.swf
* webclient/components/CitizenWorkspaceAdmin/WebContent/CDME/Cairngorm.swc
* webclient/components/CitizenWorkspaceAdmin/WebContent/CDME/CairngormEnterprise.swc
* webclient/components/DynamicEvidence/WebContent/evidence/flex/DynamicEvidenceEditor.swf
* webclient/components/DynamicEvidence/WebContent/evidence/flex/AC&#95;OETags.js

"
SPM-136444,DT037072,An unhandled server exception occurs when clicking the 'Created By' link on the Reopen page of an Income Support application,ENT,,,,"*Issue Description:*
An unhandled server exception occurs when a user clicks the 'Created By' link on the Reopen page in an Income Support application.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a new Person.
# Submit an Income Support application, selecting Cash, Food and Medical Assistance.
#  From the Person home page, select the Income Support application.
# Navigate to the Programs tab and select the ?Withdraw? row-level action for the Cash Assistance program. 
# On the Withdraw Program Request modal, enter ?Requested By? user and click Save.
# Select the ?Reopen? row-level action. 
# On the Reopen Program Application, enter a ?Reason? and click Save. 
# Expand the Cash Assistance details to view the ?Reopen Details?. 
# Select the caseworker hyperlink in the ?Created By? column.
# Issue: An unhandled server exception is thrown.

*Resolution:*
The User Details modal now displays when the user selects the ?Created By? link on the Reopen Page.

"
SPM-136409,,Adding a new participant to an intake with a selected address causes the modal to hang,SOL,Child Welfare,,,"*Issue Description:*
When adding a New Participant to an intake, setting their address to be the same as a previously registered participant's address by selecting an available address, causes the New Participant modal to hang.  

*User Interface Impact:* No

*Steps to reproduce*

# Log in as a Child Welfare intake worker. 
# Expand the Intakes section and select New Intake.
# Complete the Category, Types, Date, Time and Method fields and save the intake.
# The Intake Assistant opens, navigate to the Participants tab.
# ?Register a New Participant with address information. 
# Click the New Participant action on the Participants tab to create a second participant.
# Select the available address in the Select Address field and click next.
# Issue: The New Participant modal hangs and the participant is not added to the Intake. 

*Resolution:*
The New Participant modal no longer hangs when a previously registered address is selected and the participant registration works as expected.

"
SPM-136219,,Income display rules formatting issues,Look and Feel,Income Support HCR,Eligibility & Entitlement,,"*Issue Description:*
Formatting issues exist on the Income Details section of Insurance Assistance and Medical Assistance decisions that make the decision harder to read.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a new Person and create an Insurance Affordability application.
# Enter all mandatory fields, set the applying for benefit question to Yes and enter an SSN for the person.
# Add a second household member, a child who is a US citizen, has an SSN, has no income and is applying for benefits.
# Add Wages and Salaries $30,000 yearly starting 01/01/2020 for the adult household member. 
# Add Prizes and Awards $150 monthly starting 01/01/2020 for the adult household member. 
# Add Lump sum amount of $400 quarterly starting 01/01/2020 for the adult household member. 
# Add Capital gains of $200 monthly starting 01/01/2020 for the adult household member. 
# Add Dividends of $300 monthly starting 01/01/2020 for the adult household member. 
# Add Lump sum amount of $400 monthly starting from the current date for the adult household member. 
# Submit the application.
# Click the Care and Protection tab and select Applications.
# Select the Insurance Affordability application link and navigate to the Evidence tab.
# Navigate to the Verifications section and add verifications for the evidence.
# Authorize the application.
# Click the Determinations tab on the Insurance Assistance case.
# Click the decision period date to open the Insurance Assistance decision summary page.
# Click the Income tab, navigate to the Income tab and expand the Income Details section.
# Issue: There are formatting issues, unexpected line separators are displayed, and some labels and numerical values are in bold font. 

*Resolution:*
The format of the Income Details section has been improved. The additional line separators have been removed, and the text displayed in bold has been updated to display as expected.

"
SPM-136122,"DT036683, DT036855, DT036858",Long Term Care display rules alignment issues,Look and Feel,Income Support CGISS,Eligibility & Entitlement,,"*Issue Description:*
There are several layout issues on Long Term Care decision pages, such as misaligned text, unnecessary wrapping and additional white space which results in additional time being spent by users understanding the decisions. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a new Person (older than age 65 years).
# Next create a new application for Medical Assistance for this newly registered person.
# With the application date set to today's date and both Member of Household and Living Arrangement start dates set to 3 months previous, submit the application. For example, if the application date is 13 October, then the correct start dates are 13 July.
# Now on the application case add evidence details.
# Add a Level of Care record with the following details, Hospital Level of Care with the Certification Start Date set to the Living Arrangement start date and Certifier Type set as Physician. 
# Add a Medical Institution record with the following details, Hospital as Institution Type, Entered Date set to the Living Arrangement start date, Expected Length of Stay set to less than 6 months, Application Filed by Type set to self and add Institution, Placed By and Application Filed By details.
# Check eligibility for Medical Assistance.
# For the eligibility check, confirm that the client is eligible for Long Term Care (LTC).
# Add verification's proof, apply evidence changes, and mark as Ready for Determination.
# Authorize the eligible Long Term Care coverage and activate the product delivery online.
# Navigate to the Determinations tab on the Long Term Care product delivery.
# Click the decision period date to open the Long Term Care summary page. 
# Issue: Display rules are misaligned, labels wrap unnecessarily and there is unexpected white space between the clusters.

*Resolution:*
The layout of the Long Term Care decision pages have been improved, wrapping and alignment issues have been resolved. 

"
SPM-135998,DT037054,"The focus marker is not displayed for the options of a single-select IEG List question, which is displayed as a drop-down",Accessibility,,,,"*Issue Description:*
The focus indicator is not displayed for keyboard users when navigating through the options of a single-select Intelligent Evidence Gathering (IEG) list question displayed as a drop-down menu.

*User Interface Impact:* No

*Prerequisites:*
Configure an IEG script containing a list question, which has been configured as a single-select and to be displayed as a drop-down. For example,

{noformat}<list-question single-select=""""true"""" display=""""dropdown""""?>{noformat}

*Steps to Reproduce:*

# Log into the Cúram application.
# Navigate to the IEG script.
# Navigate to the page which contains the configured IEG list question.
# Using the arrow keys, navigate through the options of the drop-down menu that is displayed for the IEG list question.
# Issue: The focus indicator is not displayed for keyboard users when navigating through the options.

*Resolution:*
The focus indicator is now displayed for keyboard users when navigating through the options of a single-select IEG list question displayed as a drop-down menu.

"
SPM-135795,DT037038,IEG mandatory radio button and multi-select questions are not announced as mandatory by screen readers,Accessibility,,,,"*Issue Description:*
IEG mandatory radio button and multi-select questions are not announced as mandatory by screen readers.

*User Interface Impact:* No

*Prerequisites:*
An IEG script with a mandatory radio button question and a mandatory multi-select (checkbox) question is required.

Example:

{noformat}<question id=""""gender"""" mandatory=""""true"""" control-question=""""false"""" multi-select=""""false"""" show-field-help=""""true"""">
    <label id=""""Gender.Label""""><![CDATA[Gender:]]></label>
    <help-text id=""""Gender.HelpText""""><![CDATA[Your gender...]]></help-text>
    <layout>
        <type>radio</type>
    </layout>
</question>

<question id=""""code"""" mandatory=""""true"""" control-question=""""false"""" multi-select=""""true"""" show-field-help=""""true"""">
    <label id=""""Test.Label""""><![CDATA[Please select an option:]]></label>
    <help-text id=""""Test.Help""""><![CDATA[Please select an option.]]></help-text>
    <layout>
        <type>flow</type>
    </layout>
</question>{noformat}

*Steps to Reproduce:*

# Log in as an administrator.
# Click Scripts below the Intelligent Evidence Gathering section in the shortcuts panel.
# Search for the script with a mandatory radio button question and a mandatory multi-select (checkbox) question.
# Select ?Run in Modal?.
# Select the corresponding datastore schema from the drop-down and click Run Script.
# Enable the screen reader.
# Issue: The mandatory radio button and multi-select questions are not announced as mandatory by the screen reader.

*Resolution:*
The legend text for radio buttons and multi-select questions has been updated to append a mandatory indicator. This indicator will be announced by screen readers.

"
SPM-135786,DT036923,Space occupied by the expanded nested list item remains as white space when the nested list item is collapsed,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When a nested expandable list row is collapsed, its content is replaced with white space, rather than collapsing completely.

*User Interface Impact:* No

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Register a person which opens the person home page.
# Click the Issues and Proceedings tab and navigate to the Special Cautions page.
# Click New Special Caution, add a long vertical description for this special caution. 
# Click New Special Caution and add a second special caution.
# Expand the first special caution to show the long associated description.
# Minimize the first special caution.
# Issue: White space remains where the expanded content was shown.

*Scenario 2:*

# Log in as a caseworker.
# Open the Inbox tab.
# Create a task, while creating the task select the ?Add to My Tasks? checkbox.
# Open Task and open the History and Comments tab and expand the toggle.
# Collapse the toggle.
# Issue: White space remains where the expanded content was shown.

*Resolution:*
The issue has been resolved by ensuring a collapsed row no longer takes up any additional space on the page. If any content in the row changes, the row?s iFrame will adapt to the new content size.

"
SPM-135782,DT037043,First column header in the Tasks list should not be empty and the header label should indicate the content shown in the column,Accessibility,,,,"*Issue Description:*
The first column on the Tasks list page displays an orange icon indicating reserved tasks, which does not provide sufficient user information.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# On the person home page, click the Administration tab and select the Tasks page.
# Create multiple tasks, assign tasks to other users, and ensure that at least one task is assigned to the logged-in user.
# Issue: An orange icon displays in the first column when tasks are reserved, this does not provide useful information.

*Resolution:*
The tasks list page has been updated to include a new column titled ?Worked on by?. This column specifies whether the task is reserved or not. When the task is reserved, the column displays the full name of the user who is working on the task. The name is a hyperlink that, when selected, displays additional information about the user. The existing column that previously displayed the orange icon has been removed. 

"
SPM-135631,,Generate performance report from BatchProcessChunk  at end of batch,ENT,Application Development Environment,Server Development Environment,Batch Processing,"*Issue Description:*
For a long-running, chunked batch program, it can be difficult to determine how quickly and efficiently the batch is progressing. Specifically, it is challenging to know when each chunk was written, when each chunk was completed, how long it took to process each chunk, how many records were skipped in each chunk, which streamer instance processed each chunk, and whether there was any contention among streamer instances when obtaining chunk key values.

*User Interface Impact:* No

*Steps to Reproduce:*

# Execute a long-running batch program, for example, 'Bulk Case Chunk Reassessment by Product' will reassess all active cases, which can take many hours.
# Launch some streamer instances for the batch program launched above.
# Issue: While the batch chunk tables BatchProcessChunk and BatchChunkKey can indicate progress, there is no central location to monitor the health of the batch program and its streamers.

*Resolution*:
Additional columns have been added to table BatchProcessChunk to indicate:

* when the chunk was created
* when the chunk was completed
* the number of milliseconds taken to complete the chunk
* the number of records skipped in the chunk
* the process ID of the streamer instance which processed the chunk
* the length of time taken to obtain the key of the chunk
* the number of retries to obtain the key of the chunk
While the batch is in progress this provides a central location to assist an administrator to monitor the progress and overall health of the batch job by querying the BatchProcessChunk table. For example:
* determine whether it is taking excessive time to create the chunk records
* determine whether the number of skipped records is abnormal
* determine that all streamer instances are processing chunks at a normal rate
* determine if there is excessive contention in obtaining chunk keys

As before, the records from the BatchProcessChunk entity are cleaned up at the end of each batch run. However, it is now possible to save the statistics captured for each chunk. The statistics from the newly added fields can be written to a tab-delimited text file at the end of the batch run. This file is suitable for importing or pasting into a spreadsheet for later analysis. This report will be generated when the application property ?curam.batch.streams.writechunkerlogfile? is set to ?True?.

"
SPM-135600,,Ellipses at the end of action control labels are inconsistent between person and case evidence,CEF,Application Development Environment,,,"*Issue Description:*
The use of ellipses at the end of action control labels is inconsistent between person and case evidence.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a person and create an integrated case.
# Create and activate evidence on the integrated case.
# Expand each evidence and open the Details tab.
# Issue: The [View History] action control on the person evidence has ellipses, but the [View History] action control on the case evidence does not.

*Resolution:*
Ellipses were removed from the [View History] action controls on the person home page as no additional information is required to perform the action.

"
SPM-135593,,Application error when action phase property on link connection not initialized,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When action menus or cluster buttons are configured on a modal or page, and within that configuration, a link connection with a source action phase bean has not been initialized, an application error can occur.

*User Interface Impact:* No

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Navigate to the Cases and Outcomes tab and expand the Registration section in the shortcuts panel.
# Click on Service Supplier.
# Issue: The modal opens with an application error and no details.

*Scenario 2:*

# Log in as an administrator. 
# Navigate to Process Instance Errors under the Process Monitoring section in the shortcuts panel.
# Issue: The modal opens with an application error and no details.

*Resolution:*
Pages or modals with action menus or cluster buttons configured, and within that configuration, a link connection with a source action phase bean that has not been initialized will now display correctly and an application error will not occur.

*Technical*

An example of an action menu or cluster button configured in UIM/VIM to have an action phase property source would be something like the following with just the ACTION_CONTROL configuration.

{noformat}<ACTION_CONTROL LABEL=""""ActionControl.Label.somelabel"""">
 ...
 <LINK OPEN&#95;MODAL=""""true"""" PAGE&#95;ID=""""Page1234"""">
    <CONNECT>
      <SOURCE NAME=""""ACTION"""" PROPERTY=""""someProperty""""/>
      <TARGET NAME=""""PAGE"""" PROPERTY=""""PageParam1""""/>
    </CONNECT>
</LINK>{noformat}

Additionally to have an application error, there would be no page connection (PAGE/CONNECT element) to initialiize the action phase property.

"
SPM-135528,DT037020,Screen reader reads 'Blank' before reading information text about no tabs opened when there are no tabs opened in a section,Accessibility,,,,"*Issue Description:*
When no tabs are opened in a section, the screen reader reads ?Blank? before reading the information text about no tabs being opened. This can make the screen reader user think that there is no more content on the page.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Select the Cases and Outcomes tab.
# Observe that no tabs are opened in the workspace section.
# Issue: The screen reader reads ?Blank? in the workspace section.

*Resolution:*
The screen reader now reads the information text ?There are no items selected to view? when no tabs are opened.

 "
SPM-135480,DT034565,Workspace tab is not displaying in the Outcome Management module,CEF,Application Development Environment,,,"*Issue Description:*
The number.js file was missing for the en-gb locale, preventing the Workspace tab in the Outcome Management module from loading properly.

*User Interface Impact:* No

*Prerequisites*:

# Log in as an administrator.
# Search for the user Plan User using the User Search shortcut.
# Open the Plan User record and select Edit Action.
# Change the default locale for the user to English (Great Britain) and click Save.

*Steps to Reproduce:*

# Log in as a planner.
# Register a new Person.
# Create an Outcome Plan for that person from the Outcome Plans link on the shortcuts panel.
# Click the Workspace tab.

*Resolution:*
This was resolved by ensuring number.js is present in the expected location for the English (Great Britain) locale, allowing the Workspace tab to load without issues.

"
