TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-135892,"DT037051, DT037406","Input instructions before fields are not announced when modals have multiple ways to select a participant ",CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
The screen reader does not announce the instructional text on the screen that provides users with additional context for completing form fields.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1 (Generic):*
# Log in as an administrator.
# Configure a verification for an evidence type (e.g. Bank Accounts) on an integrated case.
# Start a screen reader.
# Log in as a caseworker.
# Register a person and create an instance of the integrated case referenced at Step 2.
# Add Bank Account evidence on the integrated case.
# Navigate to the Evidence tab and select Verifications.
# Click the Add Proof row-level action for an Outstanding Verification to open the ?Add Proof? dialog.
# Navigate to the Case Participant drop-down or Participant drop-down and Name text field in the Provided By cluster.
# Issue: The screen reader does not read the instructional text present before the fields.

*Scenario 2 (Generic):*
# Start a screen reader.
# Log in as a caseworker.
# Register a person and create an integrated case.
# Navigate to the Evidence tab and click the Verify button.
# Navigate to the Case Participant drop-down or Participant drop-down and Name text field in the Provided By cluster.
# Issue: The screen reader does not read the instructional text present before the fields.

*Scenario 3 (Generic):*
# Log in as an administrator. 
# Configure an Appeals Process against a Product Delivery Case; Appeal Stage set to Hearing, and click Save.
# Start a screen reader.
# Log in as a caseworker.
# Register a person and create an integrated case.
# Create an associated product delivery, the one for which the Appeal Process was configured against in Step 2. 
# On the product delivery case, open the tab actions and click the New Case Appeal option to open the New Case Appeal dialog.
# Navigate to the Appellant drop-down.
# Issue: The screen reader does not read the instructional text present on the screen.

*Resolution:*
The affected screens have been updated so that screen readers now announce the instructional text when reading associated form fields. 
*Technical:*
The  INSTRUCTIONAL_TEXT element is available in UIM to configure instructional text to provide the user with context on completing form fields.
"
SPM-136158,DT037066,Related checkbox fields in a cluster are not programmatically grouped on the Case Search page,Accessibility,Application Development Environment,Core Development Infrastructure,,"*Issue Description:*
On the Case search page, semantically related checkbox fields in the cluster entitled ?Search Results will only include cases with' are not programmatically grouped.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Navigate to the Case Search page.
# Open the browser?s developer tools and inspect the checkbox fields in the cluster with the title ?Search Results will only include cases with?.
# Issue: The semantically related checkbox fields are not programmatically grouped inside an HTML fieldset element.

*Resolution:*
Semantically related checkbox fields can now be programmatically grouped to provide context to screen reader users. 
*Technical:*
A new attribute called FULL&#95;ROW has been added to Static and Dynamic UIM for CONTAINER elements to support programmatically grouping semantically related checkbox input fields. When checkbox UIM FIELD elements are inside a CONTAINER element with a FULL&#95;ROW attribute set to ?true? and a LABEL attribute specified, a HTML fieldset element with an accompanying legend element will be rendered. The CONTAINER will span the full width of the CLUSTER row, and each child checkbox field will appear in its own column across the cluster row. 
Enabling FULL&#95;ROW =""""true"""" may disrupt the visual layout of the parent CLUSTER (the CONTAINER?s parent), for example, by misaligning fields. To correct this, one or more dummy FIELD elements with the attribute CONTROL=""""SKIP"""" specified can be added inside the CLUSTER but outside the CONTAINER to balance the layout. 
For more information on this new attribute, please see the CONTAINER element documentation in the UIM pages and views reference section in the _Cúram Webclient Reference Manual_. 
Additionally, in static UIM, if a CLUSTER element has a TITLE and only contains FIELD elements which are checkbox input fields, the grouping of checkboxes will be automatically rendered inside a HTML fieldset element with an accompanying legend element. 
For more information on this new attribute, please see the CLUSTER element documentation in the UIM pages and views reference section in the _Cúram Webclient Reference Manual_.
"
SPM-137903,,Rich Text Editor filter updates,CEF,Application Development Environment,,,"*Issue Description:*
The allowlist, which was installed by default, supports a set of HTML elements and attributes which are deemed safe and therefore do not require filtering out. However, it doesn?t provide protocol-level controls, which means customers cannot configure which URL schemes are permitted via the allowlist.
*User Interface Impact:* No
*Resolution:*
We now support protocol entries in the allowlist - for example: 
a.href.protocols=http,https,mailto,tel 
which makes those the only permitted schemes for a[href], with all other protocols filtered out. The SanatizierAllowListConfigure java class was also renamed to SanitizerAllowListConfigure. 
"
SPM-138159,DT037128,Toggling between high contrast mode in Windows does not update all on screen elements,CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
Switching Windows high contrast mode on or off does not update some on-screen elements to the correct contrast mode.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Open any page, e.g. Person Search.
# Turn Windows high-contrast mode on.
# Some elements might not be in high contrast mode.
# Refresh the page.
# Verify all elements have been updated to high contrast mode.
# Turn Windows high-contrast mode off.
# Some elements might still be in high contrast mode.
# Refresh the page.
# Issue: All elements should have returned to normal, but this is not always the case.

*Resolution:*
The application now properly refreshes visual elements to match the selected Windows high contrast mode.
"
SPM-139075,DT037187,LifeEvents and HoldingCaseDP do not have proper error handling mechanism,ENT,Life Event Management,,,"*Issue Description:*
The application does not provide a way for customers to handle errors that occur when an exception is thrown during the deferred process in curam.citizen.datahub.holdingcase.impl.HoldingCaseImpl.updateEvidence(EvidenceUpdate). This results in a lack of error handling for failures during life event updates, making it difficult for customers to implement custom error processing or notify users when a deferred process fails. 
*Steps to Reproduce (Generic):*
Below is a sample scenario where HoldingCaseDP failures are not logged appropriately:
# Log in as a caseworker, register a person and create a Universal Access account for this person.
# Create a new integrated case for the person.
# Log in with the above person?s credentials in the portal and navigate to the Update My Information link.
# Access the Update Income Details life event link and click the Income Details page.
# Add the income details, navigate to the last page, and submit it.
# Log in as a caseworker. 
# Navigate to the integrated case and view the active evidence.
# Verify that added income evidence is not brokered from the Holding Case to the integrated case.
# Check the console log.  
# Issue: The error infrastructure:RUN_ID_RECORD_NOT_FOUND: Record not found seen in the logs. This error doesn?t provide any useful information about the failure. 

*User Interface Impact:* No
*Resolution:*
curam.citizen.datahub.holdingcase.impl.HoldingCaseImpl.updateEvidence(EvidenceUpdate) has been updated to include a new error handler specific to this API. A new hook is now available for customers to implement, which will be invoked when an exception occurs during deferred process execution. 
*Technical:*
An API is provided for customers to define the actions to be taken when an exception occurs. The following method in the hook can be implemented to handle custom error processing: curam.citizen.datahub.holdingcase.impl.HoldingCaseCustomErrorHandler.handleError(String, long).
"
SPM-139129,DT037192,An incorrect aria-label is applied to the text-area element when a text-area element has no label specified in a UIM,Accessibility,Application Development Environment,Core Development Infrastructure,,"*Issue Description:*
When a text-area element has no label specified in a UIM, an incorrect aria-label is automatically applied to the element.
*User Interface Impact:* No
*Steps to Reproduce:*
# Start a screen reader.
# Log in as an administrator.
# Click Assessments under Decision Assist in the shortcuts panel.
# Click the New Assessment page-level action.
# Navigate to the Description text-area.
# Issue: The screen reader incorrectly announces the text-area as: ?List.Label.Children edit multi-line.'

*Resolution:*
When the user navigates to the Description text area for New Assessments, the screen reader correctly communicates 'Description edit multi-line'.
"
SPM-139212,DT037198,Entity operations on ProductDeliveryPatternInfo are not translating the name field,CEF,,,,"*Issue Description:*
Entity operations on the ProductDeliveryPatternInfo entity do not correctly translate the name field. When a user selects a different language, the name of the delivery pattern is displayed in English instead of the selected language. This affects multi-locale environments, where users expect to see delivery pattern names in their chosen language.
*User Interface Impact:* No
*Prerequisites:*
# Log in as an administrator.
# Click Product Delivery Cases under Cases in the shortcuts panel.
# Open any product delivery configuration.
# Click Financial and select Delivery Patterns.
# Verify that the delivery pattern ?Weekly by Check in Advance on a Monday? is configured.
# Click View Localizable Text and select Add Translation.
# Select French as the language and enter a new translation text, such as ?Weekly by Check in Advance on a Monday_Fr?.

*Steps to Reproduce :*
# Log in as a caseworker.
# Register a new Person.
# Create an instance of the product delivery configured above.## Ensure that ?Weekly by Check in Advance on a Monday? is chosen at the delivery pattern.

# Verify that the selected delivery pattern is displayed in the Home tab and the Financials section.
# Open the User menu and select Language.
# Choose French (Français) and save the selection.
# Verify that the newly added French translation is displayed.
# Repeat steps 5 to 7 for the following languages: German (Deutsch), Spanish (Español), Finnish, Swedish (Svenska), and Arabic (?????).
# Switch the language back to English and confirm that the delivery pattern is displayed in English as the default.
# Issue: The ProductDeliveryPatternInfo.readNearestProdDelPatInfo() entity operation is currently returning the untranslated value of the name field from the ProductDeliveryPatternInfo record.

*Resolution:*
A post method has been added to the ProductDeliveryPatternInfo operations to support the required translation functionality. Entity operations on ProductDeliveryPatternInfo can now correctly translate the name field. 
 If customers require the values for the 'name' column to be localized in their custom environment, they need to ensure that the correct records are inserted into the LocalizableText and TextTranslation tables for that purpose.
"
SPM-139652,DT037207,The heading for the toggle button on expandable lists is not translated correctly,CEF,,,,"*Issue Description:*
The hidden text in the table column header for toggle buttons in expandable lists is not translated correctly.
*User Interface Impact:* No
*Prerequisites:*
The application has* *English set as the default language and must allow the caseworker to change the language via the user menu.
*Steps to Reproduce:*
# Start a screen reader.
# Log in as a caseworker.
# Navigate to the Person Search page. 
# In the search results list, navigate to the list toggle column header (i.e., the column with the expand/collapse buttons).
# Note that ?Expand/Collapse Item? is announced by the screen reader.
# Open the application?s user menu and change the language.
# Once the application refreshes, return to the same toggle column header on the Person Search page.
# Issue: The screen reader still announces the English phrase ?Expand/Collapse Item?, even after the language has been changed.

*Resolution:*
The hidden text in the table column header for toggle buttons in expandable lists has been removed. This text did not provide additional value to screen reader users in understanding the purpose of the toggle buttons. The incorrectly translated text will no longer be announced to screen reader users.
"
SPM-139900,,Update the commons-lang JAR file to the latest version,Third Party Updates,,,,"The Apache Commons Lang JAR has been updated. This JAR provides a host of helper utilities for the java.lang API, notably String manipulation methods, basic numerical methods, object reflection, concurrency, creation and serialization and System properties. Additionally, it contains basic enhancements to java.util.Date and a series of utilities dedicated to help with building methods, such as hashCode, toString and equals.
* Apache Commons Lang JAR has been updated from 3.14.0 to 3.19.0.

As a result of this upgrade, the following changes have been made in the JDE and REST deliverable.
* CuramSDEJlibthird&#95;party&#95;version.properties - versions of the specified Apache Commons JARs updated.
* CuramSDEJlibcommons-lang-3.19.0.jar - version of the JAR updated.
* CuramCDEJlibextjarcommons-lang-3.19.0.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-139915,,Update the version of the commons-configuration JAR file to the latest,Third Party Updates,,,,"The Apache Commons Configuration package contains tools to assist in the reading of configuration/preferences files in various formats. The library is used in Cúram in a variety of places for XML configuration processing. It is mainly used in the client project for processing the various configuration files for Client Widgets.
The version of the commons configuration library has now been updated from 2.10.1 to 2.12.0. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramCDEJlibextjarcommons-configuration-2.12.0.jar - the version of the JAR file has been updated.
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified commons-configuration JAR has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-141096,DT037308,Hidden content ('Skip to main content' link) is readable with a screen reader but not actionable,CEF,Intelligent Evidence Gathering,,,"*Issue Description:*
The ?Skip to main content? link was being announced by screen readers when navigating with the arrow keys, even though the link was not visible and not reachable by Tab. This exposed a labelled element in the accessibility tree that was not keyboard operable, causing confusion.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker. 
# Register a new Person. 
# Start an application. 
# With the screen reader ON, move through the dialog using the arrow keys. 
# Issue: The screen reader announces the hidden ?Skip to main content? link even though it is not visible or tabbable.

*Resolution:*
The ?Skip to main content? link now becomes visible when users tab to it and reliably moves the user into the main form area; it no longer causes confusing announcements for screen readers.
"
SPM-141098,,"Financials screens are not displaying payment details as expected when payments are processed for Persons, Employers, Representatives, and Third Parties",ENT,Financial Management,,,"*Issue Description:*
The financials list page is not populated for a representative who is a nominee on a product delivery. Additionally, financials for a secondary nominee are appearing on the financials list page for the primary client.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new Person.
# Click the Care and Protection tab and select Cases.
# Use the New Case page-level action to create an integrated case.
# Add the necessary evidence to make the client eligible.
# Activate the evidence.
# Add an associated product delivery, ?Weekly By Cash In Advance On Monday?.
# Add a certification, if required.
# Click the Financials tab and select Nominees.
# Use the New Nominee page-level action to add a nominee.## Use the freeform fields so that the nominee created is a representative.

# Select the Components page and use the Assign To Nominee row-level action to assign a payable component to the representative.
# Submit, approve and activate the product delivery.
# Click the Financials tab and generate the payment online.
# Click the Nominees page and select the representative from the list. This opens the Representative home page.
# Click the Financial page.
# Issue 1: No financials are displayed from the representative.
# Return to the Nominees page and select the primary client from the list. This opens the client?s home page.
# Click the Financial Transactions tab.
# Issue 2: Both the financials for the primary client and the representative are displayed. Only the financials for the primary client should appear.

*Resolution:*
Both issues have been resolved. Financials now appear on the financials list page for a representative who is a nominee on a product delivery. In addition, only the financials belonging to the selected participant are displayed.
"
SPM-141451,DT037261,"Cúram IEG framework is not capable of handling a prepopulated list question, which is not getting displayed conditionally on the IEG Page",CEF,Intelligent Evidence Gathering,,,"*Issue Description:*
In IEG, when a single-select mandatory list question is wrapped in a condition and the question is not displayed, no value is selected. This results in an error message on submission of the page. 
*User Interface Impact:* No
*Steps to Reproduce:*
# Use an IEG script containing a page with a single-select list question wrapped in a condition.
# Run the Script and navigate to the page with the condition.
# Ensure the list question remains hidden by selecting the appropriate condition.
# Submit the page.
# Issue: An error page is displayed because the hidden mandatory question has no value selected.

*Resolution:*
The issue has been resolved. A single-select mandatory list question can now be submitted successfully even when it is hidden and no value is selected.
"
SPM-141453,,Page not found error when clicking save on the refund payment modal,ENT,Financial Management,,,"*Issue Description:*
When a financial user attempts to refund a payment using the Refund Payments page for a person, a ?Page Not Found? error is displayed after clicking Save.
*User Interface Impact:* No 
*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a person.
# On the Person home page, click the Edit page-level action.
# Set the Method of Payment and click Save.
# Log in as a financial user.
# Navigate to Receive Payments for a Person.
# Search for and select the registered person.
# Enter an amount with a ledger number and click Save.
# Navigate to the Refund Payments for a Person.
# Search for and select the same person.
# In the Refund Payment modal, select the payment to refund and click Save.
# Issue: A ?Page not found? error is displayed after saving.

*Resolution:*
This issue is now resolved. After saving in the Refund Payment modal, the user is returned to the person search screen from which the modal was opened. The same fix has also been applied to the Refund Payment page for an employer.
"
SPM-141476,DT037262,Unhandled server exception thrown when registering Prospect Person as Person,CEF,Technical Services,Participant Management,,"*Issue Description:*
Registering a prospect person as a person with an existing mailing address results in an unhandled server exception if a private address is added during the registration process.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a Prospect Person with details: First Name, Last Name, Date of Birth, Gender, Mailing Address.## Note: If no private address is provided, the system inserts an ?Address Unavailable? placeholder for the private address.

# On the Prospect Person home page, click the Register page level action.
# During the registration process, provide a valid private address.
# Click Save.
# Issue: An unhandled server exception is thrown.

*Resolution:*
The issue was caused by the removal of the placeholder private address ('Address Unavailable') when the mailing address was inserted for the person. As a result, the primary address for the Concern Role was left pointing to a deleted address, which triggered the unhandled server exception. The logic has been updated to only remove the placeholder address if the newly inserted address is marked as preferred.
"
SPM-141694,DT037272,The evidence task related to evidence issues does not close when an application case is closed,CEF,,,,"*Issue Description:*
When an application is submitted with an evidence issue, a corresponding task is created. This task remains open even though the case gets automatically closed when the application is withdrawn.
*User Interface Impact:* No
*Prerequisites:*
# Log in as a system administrator.
# Click Properties under Application Data in the shortcuts panel.
# Enter ?curam.intake.use.resilience? in the Name field and click Search.
# Use the row-level action to update the property?s value to ?true'.
# Use the Publish page-level action to publish the change.

*Steps to Reproduce:*
# Log in as an Insurance Affordability caseworker.
# Register a person and create a new application.
# On the application, assign the same Social Security Number (SSN) to both the primary individual and a second person.
# Upon submission, the application will move to a status of ?Awaiting Resolution'. An evidence task related to the evidence issue is created.
# Withdraw the program, which will also result in the closure of the associated application case.
# Issue: The evidence task related to the evidence issue remains open even after the case is automatically closed when the application is withdrawn. 

*Resolution:*
The evidence task related to the evidence issue will be automatically closed when the application case is closed. 
*Technical:*
A new version of the Process Intake Application Workflow has been introduced. Previously, application submission resulted in an error with the ?Mapping?; the application would be set to 'Awaiting Resolution', and an evidence correction task would be created. When the user withdrew the application case, the case would close, but the task would remain open. In the updated new version of the workflow, when the application is closed, the associated task is also closed. This improvement was implemented by adding a new event and an additional step to check the case status and resume based on this. 
Below are the details of the changes:
* The solution introduces a new `Closed` event type in the ApplicationCase.evx file.
* Enhances the Process Intake Application workflow with three new activities: CheckStatus (automatic activity that reads application case status and stores it in the WDO), RouteBasedOnStatus (routes based on case status), and ConvergeStatusBasedRoute (converges to end workflow for closed cases).
* When tasks are manually closed, the workflow now automatically checks the application case status - if closed, it terminates the workflow, preventing case reactivation; if active, it continues normal processing through AESRoute.

This intelligent routing mechanism eliminates orphaned tasks and prevents unintended case reactivation.
"
SPM-143283,,Navigation is incorrect when the first item in the navigation group is dynamic and disabled,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When the first navigation item in a group is configured as dynamic and marked as hidden, the system still attempts to load that item into the main content area during the initial tab load. As a result, the hidden page either appears briefly or remains visible until the user manually selects another tab.
*User Interface Impact:* No
*Prerequisites:* 
# Log in as an administrator.
# In the shortcuts panel, click Application Cases under Universal Access.
# Click the New Application Case page-level action.
# Configure a new application case where the Evidence Dashboard is not selected.

*Steps to Reproduce*:
# Log in as a caseworker.
# Register a new Person.
# Click the Care and Protection tab and select Applications.
# Use the New Application Case page-level action to create an instance of the newly configured application case.
# Navigate to the Evidence tab.
# Issue: The first navigation item, which is the Evidence Dashboard, is still being rendered into the content area during the initial tab load, even though the associated nav loader Java logic set it to invisible based on the Evidence Dashboard setting (i.e. false) on the newly configured application case.

*Resolution:*
When the first navigation item in a group is configured as dynamic and marked as hidden, the system immediately detects this state and programmatically triggers a click on the next available visible item. This guarantees that the correct page is displayed in the content area, aligning the UI with the intended navigation configuration and preventing user confusion.
"
SPM-143540,DT037283,Verification is not being created when the income amount is updated from zero to a non-zero value via the Citizen Portal,SOL,Verification,,,"*Issue Description:*
A verification is not being created when the income amount is updated from zero to a non-zero value via the Citizen Portal.
*User Interface Impact:* No
*Prerequisites:*
Configure a verification on the ?amount? data item on Income evidence associated with Insurance Affordability, with a Reverification Mode set to Reverify Always.
*Steps to Reproduce:*
# Log in to the Citizen Portal as an external user.
# Submit an Insurance Affordability application with a single applicant and no income details.
# Log in as an Insurance Affordability caseworker.
# Search for and authorize the application.
# Navigate to the Insurance Affordability integrated case evidence dashboard and create Income evidence with an amount of $0.
# Apply evidence changes.## No verification is created for the income as the amount is $0. 

# Log in to the Citizen Portal as the same external user.
# Launch the Change of Circumstance script via ?Update My Information? button and update the income amount from $0 to $100.
# Submit the changes.
# Log in as an Insurance Affordability caseworker.
# Navigate to the Insurance Affordability integrated case.
# Click the Evidence tab and select Verifications.
# Issue: No verification is created for the updated income of $100.

*Resolution:*
A defect in the postponed verification implementation for updated evidence was responsible for the verification not being created for the updated income in the above scenario. This defect has been fixed, and a verification is now created in the reported scenario.
"
SPM-143697,,Register person fails on Arabic in Modern Java,CEF,,,Infrastructure,"*Issue Description:*
The register person process fails on Arabic in Modern Java due to changes in how Date parsing is processed based on that locale.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Click Person under Registration in the shortcuts panel.
# On the Register Person wizard, click the Next button.
# Enter data in all mandatory fields (First Name, Last Name, Date of Birth, Private Address).
# Issue: An IndexOutOfBoundsException is thrown.

*Resolution:*
Register Person now works as expected in Modern Java.
"
SPM-143718,,"Deprecate some message file entries associated with the Cúram license JAR file, which are no longer used",Code Removal,Application Development Environment,,,"*Issue Description:*
curam-license.jar is a utility for Cúram license verification. It is no longer used by Cúram components. Some message entries associated with the curam-license.jar have been deprecated to indicate curam-license.jar will be removed in a future release.
*User Interface Impact:* No
*Resolution:*
No user action is required."
SPM-144177,,Remove the defunct omega3-commons.jar file from the Cúram deliverable,Code Removal,,,,"The following empty defunct Cúram JAR file has been removed from the Cúram deliverable:
* CuramCDEJlibcuramjaromega3-commons.jar

We recommend that you update your custom scripts and any other artifacts to delete any references to the removed JAR file specified above.
"
SPM-144205,DT037302,Non-relevant reading by screen reader due to incorrect aria-label on the Reference Number input field on Person Registration,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When navigating to the Register Person wizard using Microsoft Edge, the Reference Number input field is incorrectly announced as a ?Modal Frame?. This results in a confusing experience for screen reader users. 
*User Interface Impact:* No
*Steps to Reproduce:*
# Enable a screen reader.
# Log in as a caseworker (using the Microsoft Edge browser).
# Navigate to Person under Registration in the shortcuts panel.
# Using the keyboard, navigate to the Reference Number input field.
# Issue: The screen reader announces non-relevant information when the user is on the Reference Number input field.

*Resolution:*
The Reference Number input field on the Register Person wizard is now correctly communicated by the screen reader.
"
SPM-144206,DT037304,A descriptive label for a participant's age should be provided to clarify that the number represents the participant's age,CEF,,,,"*Issue Description:*
On several pages in the application, the participant?s age is displayed in brackets next to their name, for example, James Smith (55). There is no descriptive label to clarify that the number refers to the participant?s age. This can confuse both visual and screen reader users, as it is unclear whether the number is an age or another identifier. The lack of a clear label may impact usability and accessibility for caseworkers.
*User Interface Impact:* No
*Steps to Reproduce: *
# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.  
# Expand the Gender evidence type and select the Edit row-level action.
# Issue: The participant?s age is rendered in brackets beside the name. It does not specify that this refers to the participant?s age, which may confuse users as to what the number represents. e.g., James Smith (55).

*Resolution:*
A descriptive label has been added to clarify that the number represents the participant?s age. The participant?s name is now displayed in the format: James Smith, Age: 55. This update improves clarity for both visual and screen reader users and is applied across all relevant screens. 
*Technical:*
The following APIs are updated to return the new display text:
# curam.core.impl.MaintainConcernRoleDetails.appendAgeToName(ConcernRolesDetails)
# curam.core.sl.impl.AlternateName.getNameAndAge(ConcernRoleKey)
# curam.meetings.meetingminutes.facade.impl.MeetingsUtilityImpl.getClientInviteeDetails(MeetingParticipantDetails)

The following UIMs/VIMs are updated to display the new display text :
# ProductDelivery_createDeliveryPatternView.vim
# Financial_cancelPaymentView1.vim
# Action_createView.vim
# Activity_modifyRecurringUserActivity1.uim
# Activity_modifyStandardUserActivity1.uim
# InvestigationDelivery_createAllegationRoleView.vim
# InvestigationDelivery_createAllegationView.vim
# VerificationApplication_createVerificationItemProvision.uim
# VerificationApplication_verifyOutstandingEvd.uim
# ProductDelivery_getParticipantAndLiabilityForVariableWizardContent.vim
# ProductDelivery_getParticipantAndLiabilityWizardContent.vim
# ProductDelivery_getParticipantAndLiabilityContent.vim
# ProductDelivery_getParticipantAndLiabilityForVariableContent.vim
# ProductDelivery_createThirdPartyFixedDeduction1.uim
# ProductDelivery_getParticipantLiabilityWizardContent.vim
# ProductDelivery_createCaseNomineeView1.vim
# Case_listOperationalNomineePopup.uim
# ProductDelivery_createAppliedFixedDeduction1Content.vim
# ProductDelivery_createAppliedVariableDeduction1Content.vim
# ProductDelivery_modifyAppliedDeductionDetailsView.vim
# ProductDelivery_modifyThirdPartyDeductionView1.vim
# ProductDelivery_createUnappliedFixedDeduction1.uim
# ProductDelivery_createUnappliedVariableDeduction1.uim
# ProductDelivery_modifyUnappliedDeductionDetailsView.vim
# ProductDelivery_assignObjectiveToNominee.uim
# ProductDelivery_assignObjectiveToNomineeView.vim
# ProductDelivery_assignObjectiveToNominee1.uim
# Financial_regeneratePayment1.uim
# ApplicationVerificationApplication_createVerificationItemProvision.uim
# EVD_selectAssignedIncomeEvidencePreAssociation.uim
# EVD&#95;addToCaseEmploymentExpenseEvidence&#95;wzContent.vim
# EVD&#95;createEmploymentExpenseEvidence&#95;wzContent.vim
# EVD&#95;createPaidEmploymentEvidence&#95;wzContent.vim
# EVD&#95;addToCaseSelfEmploymentEvidence&#95;wzContent.vim
# EVD&#95;createSelfEmploymentEvidence&#95;wzContent.vim
# EVD&#95;addToCaseUnpaidEmploymentEvidence&#95;wzContent.vim
# EVD&#95;createUnpaidEmploymentEvidence&#95;wzContent.vim
# EVD&#95;addToCaseVoluntaryQuitEvidence&#95;wzContent.vim
# EVD&#95;createVoluntaryQuitEvidence&#95;wzContent.vim
# CYSIntegratedCase_listParticipantView.vim
# NonRestrictive_listAllPlacements.uim
# NonRestrictive_listPlacements.uim
# ProductDelivery_createThirdPartyVariableDeduction1.uim
# DecisionAssistApplication_createThirdParty.uim
# ProductDelivery_addUnitMemberView.vim 

"
SPM-144230,DT037307,"The button's accessible name 'Modal Frame' is announced instead of 'Contact Details' ",CEF,Application Development Environment,Client Development Environment,,"*Issues Description:*
On both the New Application Form dialog and User Details modal, the button accessible name does not reflect the visual heading/button text. This results in a confusing experience which makes it difficult for screen reader users to navigate.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Enable a screen reader.
# Log in as a caseworker.
# Register a new Person.
# Select New Application Case from the tab-level menu.
# From the New Application Case modal, select any application case type. 
# Click Save.
# On the top right of the application case page, click the Intake User link. This will bring up the User Details modal, and you can see the Contact Details section.
# Issue: The screen reader incorrectly announces ?Modal Frame' on the application column header instead of 'Contact Details?.

*Scenario 2:*
# Enable a screen reader.
# Log in as a caseworker.
# Search for and open any person.
# From the tab-level menu, select New Application Form and navigate to the application column header.
# Using the tab key, tab through the modal dialog until you reach the application column header again.
# Issue: When the user tabs through the dialog to the application column header for the second time, the screen reader announces  ?Modal Frame New Application Form?. This is repeated if the user tabs through the dialog to the Application column header again.

*Resolution:*
Screen readers will correctly read out relevant and meaningful context for the button, enabling assistive technology users to understand the field?s intent. 
"
SPM-144306,DT037317,Generate Instruments batch fails when future payments are transferred to a new bank account,ENT,Financial Management,,,"*Issue Description:*
When EFT payments are being issued to a representative, for example, on a product delivery, and a new bank account is subsequently added to the representative and future payments transferred to the new bank account, an unhandled server exception occurs when running Generate Instruments for the next payment due.
*User Interface Impact:* No 
*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a new Person.
# Create an integrated case.
# Add the necessary evidence to make the client eligible.
# Apply Changes.
# Create a product delivery, ?Weekly By EFT in advance on a Monday?, on the integrated case.
# Add certification, if required.
# Add a representative as a nominee on the product delivery.
# Add a bank account to the representative.
# Make this account a destination bank account on the product delivery.
# Make the new nominee the default nominee.
# Submit, approve and activate the product delivery.
# Add a new bank account for the representative.
# On the list of bank accounts for the representative, use the Transfer row-level action on the initial bank account.## Select the new bank account. This transfers all future payments to the new bank account.

# Issue: When issuing the next payment due on the product delivery, an unhandled server exception is reported by the Generate Instruments batch process.

*Resolution:*
This issue has been addressed and the Generate Instruments batch job no longer reports an unhandled server exception when future payments are transferred to a new bank account for a representative. The issue arose as there were two Case Nominee Destination records for the nominee (representative), one active and one cancelled, but the logic inside Generate Instruments to check if a valid bank account existed, did not perform a read on status. This existing entity read has been replaced by one that only looks for active Case Nominee Destination records.
"
SPM-144388,DT037316,DBtoJMS LTPA mode does not handle http content length specifier correctly,CEF,Technical Services,,,"*Issue Description:*
Batch jobs which were using the DBtoJMS functionality were incorrectly processing the response content length figure by treating it as a decimal string, whereas it is represented as a hexadecimal string.
*User Interface Impact:* No
*Steps to Reproduce: *

# Set the following application properties:## curam.batchlauncher.dbtojms.enabled = True
## curam.batchlauncher.dbtojms.notification.port = Application Server specific
## curam.batchlauncher.dbtojms.notification.ltpa = True
## curam.batchlauncher.dbtojms.notification.trace = True

# Run the following SQL statements:## UPDATE KeyServer SET humanReadable = '1' WHERE keysetCode = 'DEFAULT';
## UPDATE KeyServer SET nextUniqueIDBlock=400000000 WHERE keysetCode = 'DEFAULT'; 

# Restart the server.
# Issue: Run the batch launcher. A numberFormat exception is thrown.

*Resolution:*
The defect has been fixed, eliminating the numberFormat exception and allowing the batch job to complete successfully. 
"
